id,symbol,state_id
340,TANTIACONS,1000
341,TARAJEWELS,1000
342,TECHIN,1000
343,TEXMOPIPES,1000
344,TFL,1000
345,TGBHOTELS,1000
346,THEJO,1000
347,THOMASCOTT,1000
348,TIMESGTY,1000
349,TIRUPATIFL,1000
350,TNTELE,1000
351,TODAYS,1000
352,TOUCHWOOD,1000
353,TREEHOUSE,1000
354,TULSI,1000
355,TVSELECT,1000
356,TVVISION,1000
357,UGARSUGAR,1000
358,UMESLTD,1000
359,UNIENTER,1000
360,UNITEDPOLY,1000
361,UNITY,1000
362,USHERAGRO,1000
363,UTTAMSTL,1000
364,UVSL,1000
365,VAISHALI,1000
366,VAKRANGEE,1000
367,VASA,1000
368,VICEROY,1000
369,VIDEOIND,1000
370,VIMALOIL,1000
371,VINDHYATEL,1000
372,VIPIND,1000
373,VISASTEEL,1000
374,VISESHINFO,1000
375,VMART,1000
376,VSCL,1000
377,WANBURY,1000
378,WEALTH,1000
379,WEIZMANIND,1000
380,WIPL,1000
381,WSI,1000
382,XLENERGY,1000
383,ZENITHBIR,1000
384,ZENITHEXPO,1000
385,ZENTEC,1000
386,ZYLOG,1000
387,ADLABS,1000
388,AMDIND,1000
389,ANIKINDS,1000
390,ARSSINFRA,1000
391,BAFNAPHARM,1000
392,BHUSANSTL,1000
393,BIRLAMONEY,1000
394,BLBLIMITED,1000
395,BLUEBLENDS,1000
396,CANDC,1000
397,CELESTIAL,1000
398,CKPLEISURE,1000
399,CKPPRODUCT,1000
400,COUNCODOS,1000
401,CTE,1000
402,CUBEXTUB,1000
403,DANGEE,1000
404,DENORA,1000
405,DNAMEDIA,1000
406,DREDGECORP,1000
407,DSML,1000
408,EDELWEISS,1000
409,ELAND,1000
410,FCSSOFT,1000
411,FOURTHDIM,1000
412,GILLANDERS,1000
413,GISOLUTION,1000
414,GOLDTECH,1000
415,GPTINFRA,1000
416,GRAVITA,1000
417,HATHWAY,1000
418,HISARMETAL,1000
419,IBREALEST,1000
420,IL&FSENGG,1000
421,INDOWIND,1000
422,ISFT,1000
423,ISMTLTD,1000
424,JAYNECOIND,1000
425,KAUSHALYA,1000
426,KREBSBIO,1000
427,LAGNAM,1000
428,LEXUS,1000
429,LPDC,1000
430,MALUPAPER,1000
431,MANAKCOAT,1000
432,MANGALAM,1000
433,MBLINFRA,1000
434,MHHL,1000
435,MVL,1000
436,NEXTMEDIA,1000
437,NITINFIRE,1000
438,NKIND,1000
439,NUTEK,1000
440,OMAXAUTO,1000
441,ORIENTALTL,1000
442,PAEL,1000
443,PRAKASHCON,1000
444,PREMIER,1000
445,QUINTEGRA,1000
446,REMSONSIND,1000
447,RPPINFRA,1000
448,SABEVENTS,1000
449,SHREERAMA,1000
450,SHRENIK,1000
451,SHYAMTEL,1000
452,SILINV,1000
453,SIMPLEXINF,1000
454,SUJANAUNI,1000
455,TALWALKARS,1000
456,TARAPUR,1000
457,TIJARIA,1000
458,TOTAL,1000
459,TRF,1000
460,TRIVENI,1000
461,URJA,1000
462,VETO,1000
463,VIJIFIN,1000
464,VIJSHAN,1000
465,WEBELSOLAR,1000
466,WELINV,1000
467,ZODJRDMKJ,1000
468,20MICRONS,1000
469,3IINFOTECH,1000
470,3MINDIA,1000
471,3RDROCK,1000
472,63MOONS,1000
473,AAKASH,1000
474,AARON,1000
475,AARTIDRUGS,1000
476,AARTIIND,1000
477,AARVEEDEN,1000
478,AAVAS,1000
479,ABAN,1000
480,ABB,1000
481,ABBOTINDIA,1000
482,ABCAPITAL,1000
483,ABFRL,1000
484,ABNINT,1000
485,ACCELYA,1000
486,ACCORD,1000
487,ACCURACY,1000
488,ACEINTEG,1000
489,ADFFOODS,1000
490,ADHUNIKIND,1000
491,ADORWELD,1000
492,ADSL,1000
493,ADVANIHOTR,1000
494,ADVENZYMES,1000
495,AEGISCHEM,1000
496,AGARIND,1000
497,AGCNET,1000
498,AGLSL,1000
499,AGRITECH,1000
500,AGROPHOS,1000
501,AHIMSA,1000
502,AHLEAST,1000
503,AHLUCONT,1000
504,AHLWEST,1000
505,AIAENG,1000
506,AIRAN,1000
507,AIROLAM,1000
508,AISL,1000
509,AJMERA,1000
510,AJOONI,1000
511,AKASH,1000
512,AKG,1000
513,AKSHARCHEM,1000
514,AKSHOPTFBR,1000
515,AKZOINDIA,1000
516,ALANKIT,1000
517,ALEMBICLTD,1000
518,ALICON,1000
519,ALKALI,1000
520,ALKEM,1000
521,ALKYLAMINE,1000
522,ALLCARGO,1000
523,ALLSEC,1000
524,ALPA,1000
525,ALPHAGEO,1000
526,AMBANIORG,1000
527,AMBER,1000
528,AMBIKCO,1000
529,AMJLAND,1000
530,AMJUMBO,1000
531,AMRUTANJAN,1000
532,ANANTRAJ,1000
533,ANDHRABANK,1000
534,ANDHRACEMT,1000
535,ANDHRSUGAR,1000
536,ANSALAPI,1000
537,ANSALHSG,1000
538,APARINDS,1000
539,APCL,1000
540,APCOTEXIND,1000
541,APLAPOLLO,1000
542,APLLTD,1000
543,APOLLO,1000
544,APOLSINHOT,1000
545,APTECHT,1000
546,ARCHIDPLY,1000
547,ARCHIES,1000
548,ARIES,1000
549,ARIHANT,1000
550,ARIHANTSUP,1000
551,ARMANFIN,1000
552,AROGRANITE,1000
553,ARROWTEX,1000
554,ARSHIYA,1000
555,ARTNIRMAN,1000
556,ARVEE,1000
557,ARVSMART,1000
558,ASAHIINDIA,1000
559,ASAHISONG,1000
560,ASAL,1000
561,ASHAPURMIN,1000
562,ASHIANA,1000
563,ASHIMASYN,1000
564,ASHOKA,1000
565,ASIANHOTNR,1000
566,ASIANTILES,1000
567,ASLIND,1000
568,ASPINWALL,1000
569,ASTEC,1000
570,ASTERDM,1000
571,ASTRAL,1000
572,ASTRAMICRO,1000
573,ASTRAZEN,1000
574,ASTRON,1000
575,ATFL,1000
576,ATUL,1000
577,ATULAUTO,1000
578,AUBANK,1000
579,AURIONPRO,1000
580,AUSOMENT,1000
581,AUTOAXLES,1000
582,AUTOIND,1000
583,AUTOLITIND,1000
584,AVANTIFEED,1000
585,AVENTUS,1000
586,AVG,1000
587,AVONMPL,1000
588,AVSL,1000
589,AVTNPL,1000
590,AXISCADES,1000
593,AYMSYNTEX,1000
594,BAJAJCORP,1000
595,BAJAJELEC,1000
596,BAJAJHIND,1000
597,BAJAJHLDNG,1000
598,BALAJITELE,1000
599,BALAMINES,1000
600,BALKRISHNA,1000
601,BALLARPUR,1000
602,BALMLAWRIE,1000
603,BALPHARMA,1000
604,BALRAMCHIN,1000
605,BANARBEADS,1000
606,BANARISUG,1000
607,BANCOINDIA,1000
